               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.012775,             0.01007,           0.0018108,             0.10398,             0.69741,             0.10136,             0.05839,            0.020952,            0.013255,             0.13131,            0.001618,            0.001618,            0.001618
                 129,            0.013129,           0.0092816,           0.0023677,             0.10837,             0.71785,             0.10696,            0.060196,            0.021226,              0.0136,              0.1332,            0.001552,            0.001552,            0.001552
                 130,            0.013591,            0.010144,           0.0019085,             0.11236,             0.71807,             0.10758,             0.06021,            0.021262,            0.013931,             0.13324,            0.001486,            0.001486,            0.001486
                 131,            0.013467,           0.0095336,           0.0015136,             0.11213,             0.72887,             0.10544,            0.056809,            0.021695,            0.014109,             0.13379,             0.00142,             0.00142,             0.00142
                 132,            0.013092,           0.0097767,           0.0013983,             0.11436,             0.77804,             0.11183,            0.063045,            0.020804,            0.014068,             0.13505,            0.001354,            0.001354,            0.001354
                 133,             0.01301,           0.0091389,           0.0017216,             0.10448,             0.76919,              0.1034,            0.057761,            0.021222,            0.013826,             0.13593,            0.001288,            0.001288,            0.001288
                 134,            0.011714,           0.0088216,           0.0008559,             0.08692,             0.69003,            0.090504,             0.05137,            0.020995,            0.013749,             0.13746,            0.001222,            0.001222,            0.001222
                 135,            0.011999,           0.0090875,           0.0014838,            0.092694,             0.69544,            0.095862,            0.053084,            0.021055,            0.013533,             0.13871,            0.001156,            0.001156,            0.001156
                 136,            0.012454,           0.0092037,           0.0011463,             0.09338,             0.67709,            0.094904,            0.052579,            0.021154,            0.013737,             0.13808,             0.00109,             0.00109,             0.00109
                 137,            0.011527,           0.0099197,           0.0015862,             0.10069,             0.70595,            0.099423,            0.055407,            0.020977,            0.013862,             0.13858,            0.001024,            0.001024,            0.001024
                 138,             0.01219,           0.0091901,           0.0012257,             0.10399,             0.72307,             0.10256,            0.057407,            0.020865,            0.014089,             0.13839,            0.000958,            0.000958,            0.000958
                 139,            0.012011,           0.0092265,           0.0008783,             0.10212,             0.71095,             0.10156,            0.057328,             0.02074,            0.013948,             0.13899,            0.000892,            0.000892,            0.000892
                 140,             0.01146,            0.009083,          0.00075414,            0.096911,             0.68516,            0.094072,            0.052863,            0.020722,            0.014076,              0.1402,            0.000826,            0.000826,            0.000826
                 141,            0.011654,           0.0087962,          0.00079077,            0.095952,             0.65238,            0.090622,            0.051477,            0.020789,            0.014195,             0.14121,             0.00076,             0.00076,             0.00076
                 142,            0.011633,            0.008973,           0.0012109,            0.096362,             0.64506,            0.090277,            0.050257,             0.02094,            0.014219,             0.14176,            0.000694,            0.000694,            0.000694
                 143,            0.010556,           0.0087196,          0.00079527,            0.098502,             0.64043,            0.092096,            0.051434,            0.020817,             0.01431,               0.142,            0.000628,            0.000628,            0.000628
                 144,            0.011649,           0.0085648,           0.0017696,            0.096188,             0.63739,            0.089894,            0.049629,            0.021098,            0.014351,             0.14299,            0.000562,            0.000562,            0.000562
                 145,            0.011307,           0.0087598,           0.0014139,            0.098941,             0.64609,             0.09233,            0.050687,            0.021303,            0.014424,             0.14346,            0.000496,            0.000496,            0.000496
                 146,             0.01032,           0.0085189,           0.0014059,            0.095916,             0.62802,            0.086223,            0.047874,            0.021096,            0.014402,             0.14339,             0.00043,             0.00043,             0.00043
                 147,             0.01095,            0.008561,          0.00094515,            0.091346,             0.61572,            0.083052,            0.046079,            0.021064,             0.01428,             0.14442,            0.000364,            0.000364,            0.000364
                 148,            0.011975,           0.0087968,          0.00081448,            0.089563,             0.61169,            0.081043,            0.044534,             0.02115,            0.014301,             0.14542,            0.000298,            0.000298,            0.000298
                 149,            0.011042,           0.0081455,           0.0010301,            0.087266,             0.60282,              0.0784,            0.043274,            0.021234,            0.014514,             0.14505,            0.000232,            0.000232,            0.000232
